labels,posts,,
Hate,Dhaqii udduu kee bani ilma minilik qurcii Nuti amma waaee amantii irra hin jirru bari,,
Free,Hamileetu si cabee kanaf olooltanagaa dhaammadhu,,
Free,manna LUBUMMAA ORTODOKSII OROMIYAA     ,,
Hate,Waqnii Akkaa  Dhooksaan Qalaatan dhoksaan isiin haa qaluu Amaa Mal jeechuuf Maqaa isaa kaastaa Araamuu dhignii Qulquluu Dhignii Miskiinaa a imaaman ijoollee isaaisiin haa gaafatu,,
Hate,Gadhee garaa bakuma hunda jirti gadheen akka kee,,
Hate,Budaan Shanee dha,,
Free, Deetaan Ministiira Qonnaa Addee Ayinalaam Nigusee damee qonnaa ammayyeessuuf teeknoloojiin deeggaramu qaba jedhan,,
Free,"Magaalaan Adaamaa dargaggoota magaalitti 1,700 taÃ¢â‚¬â„¢aniif,mata duree imaammata misooma mootummaa fi raawwii isaanii irratti leenjii guyyaa shaniif kenneera.",,
Free,Namoota afaan hin beekne iddoo hin taane galchanii hardhas diriddirii Boris diriddirii gaaftokko qiriqqirii walitti gochuunsaanii hin oolu,,
Hate,Jarri qabsaayota tokko tokkoon ajjeestee fixuuf murteessiteetti yaa sabaa dammaqi,,
Hate,namni bifaan fokotu goorilla,,
Hate,Oso beekttuu dabaafi cubbuu ilmaan oromoo waggaa lama keessatti dachaan wayyaane caalaa ficciisifttan ammas akka Jawaar Muhaammad jedhe katarttee ginddoo kahaafttee goddoodhugaa dubbaadha garaafi angoo jettaan gootoota meeqa hiitaan gootoota meeqa lubbuu galaafattan kana aangoo nama dandeettii fi tarsiimoo yaada moo'aata qabuufi laadhaa dabaarsa ,,
Hate,hattu mee dura tana jala darbi,,
Free,Lamaanu kan paartii tokkooti,,
Hate,Maxxantuu wahii sobduu kaayyoon Baaroo ,,
Hate,Harree Amantii muslimaa Itoophiyaa keessa balleessina jettanii ABN wajji hojjataa jirta sobaa,,
Hate,Namichii maraataa kun waaee Nabiyyi keenyaa maalitii beekkaa domaa nama deemii Uummaataa  Gowwomsuu hin yaalii nuti sii jibbinee jirraa  bittaa abbaa garaa soba kee Uummaanii barreete jirraa ,,
Free,dhiyeessuuf,,
Hate,kijiba dhiisaa dhaa baasa jiri isin hamatti isin jara hamattu  kamtu dhugaadha,,
Free,Dhaabbatichi gabaasa kana kan baase taateewwan gurguddoorratti tarkaanfii interneetii ugguruu mootummaan ta'e jedhee akka biyyatti fudhatee ture irratti hundaa'uuni.,,
Hate,badhaadhina wajjin fuldurri keenya ifa,,
Free,Ergaa Ariifachiisaa  Eegumsi Naannoo Daangaa Tigiraayii Fi Affaar Gidduutti Taassifamaa Jiru Daran Cimuu QabaHoggantoonni Wayyaanee Yoo Qaawwaa Argatan Karaa Sana Miliqanii Gara Alaatti Baqachuu BarbaaduRaayyaan Ittisa Biyyaa Fi Humni Addaa Naannoo Affaar Eegumsa Cimaa Akka Taassisanu Dhaamsa Keenya Dabarsina,,
Hate,Salami ilmasharmuxa,,
Hate,Namni  jaamaan sun lubbuun keeyyuu haa badu ,,
Free, Warri gootota keenya hidhaatti naqe mircaa jedhee didichaa jiru jara kana,,
Free,hundaa dura nagaan waaqayyoo hundaa keessaniif haa tau jeecha akkam jirtu jechaati dhaamsaa gababduu tokkon si barressu barbaade yaa maati waaqayyoo nuti osumaa waaee alabaa hasoofnuu amantoota ortodoksii mana qulqullumma akka jibbaan taasisa jirraa kana jechuun koo falmuu hin qabnuu jechuu kooti miti dinni tokkummaa ortodoksii tawahidoo senee digee mana qulqullumma keenya ballessuf akka karoorfate meeqa keenyatu beeka laata mee warra nutii warra ortodoksii tawahidoo Taanef yeroo fi barri amma keessa jirruu kun kan waaee alabaa hasofnuudha lakkii nuti warra motummaa waaqayyof qophahedha wal haa jalannu iccitti mana qulqullumma keenya akkuma kaleessaa haa eegnu abboota keenya yaa fakkannu maalo cubbu fi wal jibbuu keenya ilaale waaqayyoo nuu adabuuf deema yaa hubannuu maalo nuuti waaee alabaa lallabna moo waaee dubbii fayyinaa sagalee waaqaayyotti yaa ijollee ortodoksii namonni baayee maqaa mlo fb bananii oduu hin barbaachisnee gadhisaa jiru yaa hubannuu biyyi teenya itoophiyaa Biyyaa waaqayyotti isheen hooma hin taatu nutuu badaa maalee anii akka kootti osoo gonkumaa Waaee alabaa kaasu banne natti tola maalifi yoo jenne Abbaa barbadee yaa hidhuu lakkii hin barbannu kan jedhe yaa dhisuu wanni bara wareegamumma fi bara dhumaa keessa teenye alabaa ajaandaa godhanne lalabnuuf hin jiru kan Barsisaa jedhamne dubbii sagaale waaqayyotti nuti garuu alabaa sabasabaa hin hidhinaa kana lallabni keenya kun gonkumaa wantaa nama dhiphisuu fi ajandaa tau miti kanafuu warrii kaleessaa ortodoksii tawahidoo ijollee ishee ishee wareega mana qulqullumma ishee gubaa turan sun haraas jiru kana beeki tokkummaa keen waaqayyoo kadhaadhu dinaa kee moii yeroo baayee osoo hin beekin qorumsaa nama biratti taana innis kan nagaa waaqa isaa taee galateeffatu nuti finne sammu isaa keessa wanta hin taane goona amma kanaaree fayyinni anii gama kootin baayee gaddaa,,
Hate,har'aaf homaan jettu waan gaarii jette gaash Girrisaa  Good jobb,,
Free,Mootummaan Ityoophiyaa mana ofiif ijaare deebisee hin diigu jedhan,,
Hate,Hawwasni inni ideessu kamii kan waraana itti ergee ajjeessaa jiru sana moo kan biraati Kaan hidhaatti guuraa kaan ajjeessa nutti xexxeebuu dhaaba,,
Hate,Afaan nyaatamalee dhugaa hin beekne Sammuu garaa yaaddu Ija haqa hin garre Gurra dhugaa hindhageenye Saamtuu Hattuu,,
Free,Oduu Gammachiisaa             Mootummaan Germany dhimma Hidhaa Guddicha Laga Abbayyaa ilaalchisee ejjennoo Itoophiyaan qabattee jirtu cimsee kan deeggaruu fi hamma hidhaan guddichi xumuramee tajaajila kennuu eegalutti waan barbaachisaa tahe maraan deeggaruuf qophii tahuu Chansilariin Jermany Angela Merckel ibsaniiruMirga Itoophiyaan qabeenya umamaa isheetti fayyadamuuf qabdu sarbuun waliigaltee Itoophiyaa fi ummata ishee miidhu dirqiidhaan mallatteessitu malee dueen argama jedhanii maqaa jaarsummaatiin biyyattii dirqisiisuu kan barbaadu fudhatama waan hin qabneef hatattamaan dhiibbaa gochaa jiru irraa akka dhaabbatu Angela Merckel akeekkachiisaniiruEjjennoon DrAbiy ejjennoo keenya jedhaniiruGalatoomaa,,
Free,Giddugalichi sosochii midhaan nyaataan of dandaÃ¢â‚¬â„¢uuf taasiifamaa jiru deeggaraa jiraachuu himaniiru,,
Hate,Namni inuma haasawa yoo lubbuun keessa jiraatte namichoo ajoofteetta akka saree rooba keessaa,,
Hate,dabnii ykn dhiibbaan gara gara jiru kara hedduun tauun mallatoo hedutu  muldhataa jira tarii adeemsa akkasii jana  yaada kiyyaattii ademsuma mootummaa angoo of harka qabu kanatu shira bifa adda taen fudhate as bae fakkaata keessattu amantii muslimaa irrattii xiyyeeffanna harri fudhatte as baate karoora dheera fudhate bifa hiccititiin dalagamu tau dandaaa jedheen yaada kanaafu amantii keeyna eegachuuf bifa bilchina qabuun faana buunee amantii keeyna biyya keeyna irratti kabachiifachuu qabna jedha,,
Hate,biyya diiguuf gaallaa ta'uun gahaadha,,
Hate,Bacbaacooch saroota bilxiginnaa,,
Hate,Dhukkuba sammuu #Jazbaa jedhamuutu sitti jira ,,
Hate,sobduu meeiyyasuusmaali naaf himii kanaafi kan koronaan jabaataa jiruuf,,
Free,Boh enyunni dubbisa barrefama Isa akkana dheeratu bekan keyyata tokkon nama amansisa malee barrefamni dherachu kessa wa tokko hin argamu,,
Free,"Magaalaan Adaamaa dargaggoota magaalitti 1,7normalNormaltaÃ¢â‚¬â„¢aniif,mata duree imaammata misooma mootummaa fi raawwii isaanii irratti leenjii guyyaa shaniif kenneera.",,
Free, Hara addunyaan itti kaanaan daboo wal waamanii hiriira bahuun mangistii isaanii tumsuuf akkanatti wacaa jiru,,
Free,Ummaan musilimaa rakkoo malee baloo yoomuu argee hin beekuu   Motummaan dhufaa lufaanile ummaata musilimaatii buaa busee tokkoo hin jiruu   teessaani irrummaati egaa jiraa malee,,
Free,Ratuu waraa juntaa maqaledhayuu qabu hin dendeyne kan biyya bake ha hafutii,,
Hate,Worri awuliyaa rabbii ajjeeste kuni nama miti foon jaraatu nama fakkaata malee Balfa,,
Free,yaaboo zamanuma akkam keessa jirra kan nama akkanaatiif drummaa sobaa tiifii aangoo sobaa namaa kennen an gama kiyyaan qaallicha kana murtee duaatiin itti mura nama bilisa badii tokkoon maletti hidhaa kaayanii yakkamaaf aangoo kennan duuba nama akkanaatu biyya bulchaa isin oromotti qoosutti jirtan Abiy MUST Go ,,
Free,"Koloneel Maammoo Mazammir abbaa isaanii Obbo Mazammir Habtee Dooriifi haadha isaanii Aadde Uumee Gurmeessaa irraa Godina Shawaa Lixaa Aanaa Gudar keessatti dhuma bara 1920'ootaa keessa dhalatan.Barnoota sadarkaa tokkoffaa magaalaa Gudar keessatti Mana Barumsaa Dajjaazmaach Baalchaatti baratan.Sadarkaa lammaffaammoo Mana Barumsaa Tafarii Mokonnin keessatti baratan.Barnoota sadarkaa lammaffaa boodas gara Harar imaluun leenjii barsiisummaa baratan. Erga barnootasaanii xumuranii booda achuma Hararitti leenjii loltummaa fudhatan.Achi keessattis qabxii olaanaa waan fidaniif gara Yuuniversitii Finfinnee deemanii digiriisaanii akka baratan carraa argatan.Bara 1962 Yuuniversitii Finfinnee irraa barnoota seeraatiin eebbifaman.Osooma mooraa Yuuniversitii Finfinnee jiranii namoota gameeyyii Oromoo waliin Waldaa maccaafi Tuulamaa jalatti walitti dhufan.Mooraa Yuuniversitii Finfinnee keessaa Waldaa Maccaa fi Tuulamaatti makamuudhaan Maammoo mazammir nama jalqabaa ta'an.Hanga murtoon du'aa itti murtaa'ee fannifamanittis waldaa kana jalatti qabsaa'aa turan.Mootiin yeroo sana biyya bulchaa ture Haayilesillaaseen Maammoo Mazammir haleellaa boombiidhaan raawwateera jechuun yakka irratti qindeessee himachuun akka fannifamu murtaa'utu himama.Maammoo Mazammir bara 1969 wayita murtoon du'aa irratti murtaa'u, dhiigi kiyya gatii malee hin dhangalaane, ana nama tokko balleessitanis Oromoon damee sagal ta'ee dhufa jechuun dubbatanii ture.",,
Free,JawartuqamnanAmari OromiyakeysajirutokkotoknsaAkahinbanebeka,,
Hate,gaallaan aangoo qabachuun bu'aan isaa jeequmsa qofa kunoo,,
Hate,ortodoksiin kan warra alaabaa lummuxxiiti,,
Hate,Mootummaa sirna nama nyaataa  kanarraa  ibsas taee marii eeggachun  hattuu meeshaa kee sijalaa hatte waliin meeshaa sejalaa bade barbaaduu jechaadha ,,
Hate,nafxanyaa dur ofirraa cabsine ammas nutti deebistani,,
Hate,Polisin oromiya harree sii fi mililliki ittiin oromiyaa dhuftan seetee ilma hattuu mana bunaa dalagdu,,
Hate,Aboo kun Tayye dandaa Aredo  miti Namabirati male yonif Tayye Tate gara midaa dhaqiti Akkas jii me isa miti kun kabira Olola gantufi galtuti,,
Hate,maaliif nafxanyaan finfinnee handhuura oromoorra teessee oromoo arrabditi gaallaa gaafa jedhamu arrabsoob kun isin ilaallatamoo isin hin ilaallatu maalumaaf oromummaa keessan dagattan kun maal jechuudha  isiniinis lakkisaa isin oromoodha jedhanii isin gorsuu barbaachisamoo  maal taatan maaliif oromootti gadhee duulchistu  yookiin duuriyyoota finfinnee teessee oromoo arrabsitu irratti tarkaanfii i hin fudhanne yookiin uummanni akka falmatuuf jalaa hin gorre kun seenaan isin hin gaafatuu maal taatan jedhan  olaantummaan seeraa kan kabajamu oromoo qofa irrattii seera kan cabsus oromoo qofaa qawween keessan sun taankiinis oromoo ittiin dararuuf qofa bitamee adaraa dhiiga uummata oromoo  of taaa of hin hatinaa nama of hatu poolisiin argee hin qabu adaraa adaraa jijjiiramni tokkoyyuu hin jiru jijjiiramatu jira jettaniimmoo nutti hin iyyinaa oromoon waan nyaatee buluyyuu dhabeera mootummaa wayyaaneetu mootummaa nafxanyaatti jijjiirame loogoo jijjiirrattan malee onnoo keessan hin jijjiirranne silaa yoo xiqqaatellee uummanni kun nagaa argachuu qaba ture nagaan qabeenya caala  MENEMENE TEKEL FAARES,,
Free,"Bishooftuu, Adaamaa fi Amboo keessattis dameewwan qabna",,
Hate,ODP Official inni duee ture eessaa ka'e garuu Isinoo aangoo irratti wal loltuu KFOn immoo nagaa buusaa jechuun yakkaa,,
Hate,Harreen kuni halaakka isa yoomuma dhiisa,,
Free,Ministirrin Raayyaa Ittisaa obbo Lammaa Magarsaa Deettaa Ministira Dhimma Alaa Faransaay Zhiyaan Baabtiist Leemoyn Waliin mariÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢atan,,
Hate,Jedhan .atis Edaa nama ergattu numa qabda? ,,
Hate,oromoon qawwee hidhachuu maaliif jibbitu garuu  uummanni oromoo qawwee hidhate yaaddanitti isinii akkanni hin bulle safaraa bartaniif miti,,
Free, Bakka buaan Biiroo Barnootaa Oromiyaa Obbo Shamsaddin Ibraahim akka Naannoo Oromiyaatti hanqina Daree Barnootaa jiru furuuf daree dabalataa 3normalnormalnormalNormaltahu ijaaruuf karoorfamee hanga ammaatti baajata mootummaafi hirmaannaa hawaasaatiin dareewwaan dabalataa 34normalnormalNormalol ijaaramee tajaajila kennuurratti argamu jedhan,,
Free,Dhiis yaa PP sirratti bekama maqabasii silaa arggite  hinhisisttuu hinaffatu sidubbachisa afuufttu essa atimmoo kottu hinnyaattaa bitamttuu  dhaqii tokko goewomssi isa kan sidhagau hinjiru ganttuu  ,,
Hate,Opdo ni  Amaraa botaa keniti malee nuti  oromiyaa  ni amaraa walin hin jiranu nagadha ni amma jari wahi miniliki  balese jedhanuti opdo  hatu amara nuraa gadhi qabaa jenani,,
Free,Naafxanyoota Maaltu achiin isin gaheeWaggaa kudhan dhiisii Waggaa tokkoo hin bultan Amaariffa wal barsiisa isin achumatti,,
Hate,Qabsoo qeerroon geggeesse faana buuun gurraachessuuf Karoorri bilxiginnaa kana fakkaata   Mana amantaa gubuu fi namoota bebbeekamoo ajjeesuun ummata walitti buusuu karoorri isaanii kunoot Namni kamuu qaama tokko irraatti tarkaanfii yoo fudhate Hordofuun qabanii ajjeechaan adabuun Seera qeerroon amma baase keessa jira   Namni Mana amantaa fi saba kam irraattu tarkaanfii fudhachuuf yaalu yoo jiraate Hordofamee seerri waan hin jirreef ajjeechaan adabama Bakka sanatti nii ajjeefama Kanaaf qophiin barbaachisu xumurameera,,
Free, Kaayyoon guddaan waldhaansa dhowwatanii hidhamtoota ajjeesuu dha,,
Hate,Amaaraan qofti sababa itti nurraatti caffartu hin qabdu harroonni,,
Hate,Sobdu afuftuu achalun yo miniliki abare Shane maltu galchu ilma haxaraw sobdota egga interview issa guttu harka qabatni maf gaddi hin lakifne qoy an kan jedhu oromo gowwa sinitti fakkate moo Mali dramichi kessan Hundi nuf galera nagan hochechu hun dandenye irra debiha yala ilman sareee,,
Free,Waa ufii uumuu hin dandeessan waanuma namni tokko uumetti rarraatu gadhees haa tau gaarii kun immoo irkattuumma keessan agarsiisa,,
Free,Kabajamoo MNO Hundaa dura dhifamalee nagodhaati Badhaadhina jechuun maal jechuu akka tae nagalaa hinjiru Maal yoo jetanYeroo amm kana eessayuu yoo dhaqxan biroo mootumaa keessa tajajilaa haqaa argachuun amma nama umuutii Tajajilaa kamiyuu argachuuf gubboo yoo kenittan malee deebii siirii hinargatan Keessumayuu wayee abba qabeenyumaa lafaa ilalchiise qarishii kenittan malee tarkaafi tokko demuu hindandeessan Kana yeroo jedhuu ulaa gaalee abba qabeenyumaa ragaa otoo harka qabdaani keesssaan deebii dhabe kan qarishii qabu garuu isa seeraan qabeessa hintaneyuu qarishiin seeraa qabessa taasfataBiyyaa itti dhalataani guddataaniti mirgaa offi qarishiin bitu jechuun amaam akka baadii tae isinu murteessa Kun yoom deebii argata Oromiyaa keessaati Sabaaba lafaa caraqaa jedhuu Kartaan akka hinkenamiine dhorkame ture Jidutimoo Eeyamameera jedhame moo ammas deebi sababaa ifa hintaneen dhabate jedhu Harkaa wayya jalatiinmoo hinumaa kenu Kalaatiin yeroo gafatamaanimoo karaa namoota isanitiin qarishii amanaa haa qopheessu jedhu Seeraan alaa akkminaan kana gafatamaa yoo jetan isa kanayuu sitoleeti kanaan achi hinargatuu namaan jedhu Yoo barbadaan gandaatuu calaalee dabarsaa jedhu gaafaa gandii numirkaneesse jedhumoo akkuma baraan waraa qarishii kenaan qafaaf hojetuu kan fayilaa yuu gandaa gara bulchiinsaa magalaati dabarsuuf wagaa lamaa oli tae jira Eenyuuti haa iyyuu  Akkamiin mirgaa keenyaa haa arganu Guufuu waltii taaa akkamiin garaa badhadhiinati haa deeminuu,,
Free,Hojii ijaarsa bu'uuraalee misoomaa kanneenii keessatti dargaggoonni hoji dhabdoota tahan 50 oli carraa hojii atgachuusaani obboo Ibraahim himaniiru,,
Hate,baguma namatti dabalamtan dhugaa kibba keessa namatu jira jedhee hin yaadu akka horii karoora nafxenyaa jala yaati,,
Hate,Lama hin ooltu takkaa wallaala gantummaa dha,,
Hate,namichi harreen kun maaliif qamadii namaa keessa seene,,
Hate,Jawwaar abbaa qeerroo hiitanii fi hidhamtoota siyaasaa hiikaa Warra minilikii faana Oromoon shanee,,
Hate,Woronii kibijibaa ofii kessaa ofatan ufii egaa oromoo yeroo hundaa homa fedhan dalagan dhifamaa jedhan kun tufii oromotii kan ilmaa abban nafaxanyaa rabbii angoo kan irraa haa ciruu hattuu obbolessaa alamuu simee,,
Hate,ima odeessaa gatii  harkaa hamma argattanitti,,
Hate,OPDOn hoo haala mijesitu waan kan turte Dhiisi hin ta'u dubbiin kijiba irraa dibaa jedhee ,,
Free,Gareen badii iddoolee garaagaraatti bittinnaaÃ¢â‚¬â„¢uun rakkoo uumaa ummataa miidhaa nageenya ummataa booreessuuf sochoÃ¢â‚¬â„¢aa jiraachuu ibsaniiru,,
Hate,KFO namaan akka hoogganamu wallaalan fakkaata,,
Free,nHogganoota qabsoo mana hidhaa keessatti nyaata lagatan laalchisee wanti dhagahaa jirru yaaddessaa dha,,
Free,Ani siyaasa qooddaa kana hin deggeru garuu immoo oromoon tokkollee yoo duu balaaleffachuu qabna malee ebeluunis ajjesaa jira waan taeef homaa miti hin jedhamu,,
Hate,Dhugaa ketii yo dhugumaan walif tanee walif dhiguu qabnaa waliin gabaromnee walin bilsomnaa yaa sabaa dhugaa ketii tayee silaa walif gaalee monaa kanafuu walii hinafuu dhisaa walif tumsaa akasiti ijifatan dinaa oromo dini ni bekaa yo walif tumsee akaa ijiftaman dini ni bekuu tanaf nu diguu wal qabanee garaa haa baanuu,,
Hate,Oromiyaa saggalleehin qabaduu  midoyaa kenyaa  sirin amaaraa ittii  dullee nuraa cuffee oromofii oromiyan gagguurra kinissa hin qabanee tattee oso qessii ta,,
Hate,Sarichaa,,
Free,Ministirrin Raayyaa Ittisaa obbo Lammaa Magarsaa Deettaa Ministira Dhimma Alaa Faransaay Zhiyaan Baabtiist Leemoyn Waliin mariâ€™atan,,
Hate,Hidhattoota saree kajeeltuu diina jala fiigaa ummata keenya ajjeestu san tarkaanfii of cimaa itti fudhadhaa hadaraa qeerroo,,
Hate,ummanni keenya nagaa argatee jennaan waa'ee warra kaanii waan nu galchu hin jiru nuti oromoodha,,
Free,Hawi  Anole Siirna Federaalizimiitiin biyyatiin tun akka bultu yoo barbaadamee Naannoo sabaaf sablamoota kibbaatii carraan paartii siyaasaa mataa walitii qabee bulchu ni uumama jettee yaadaaTo make clear,,
Hate,nama akka keetii kana ajjeesuu malee falli hin jiru dhala qomaaxaa,,
Free,Abukaatoo fi gorsaan seeraa obbo Wubishat Girmaa fi Malkaamuu Ugoon koomiishinichi itti gaafatama laatameef sirnaan ba'achuu qaba jedhaniiru.,,
Hate,Nama oromoo ganee milkaahe hin agarreekan ajaawee malee  ByJmohammed,,
Hate,hayi siii fakkaattota nama dhibaa bar yoomuma maxxantummaa jalaa baatanii saballee baaftan laata  garaaf sabaaf yoomuma jiraattan laata kaleessa mataa saba oromoo woyyaanre jalatti gad qabuuf yaaltan isiniif hin milkoofne,,
Hate,Duuba deebisaan kan biraa ajjeesuudhaa arra baddeessatti sheek abdellaa irratti nuuf dabalan kunoo,,
Hate,Afaan qabda dubbaadhu haree woyi ati duraa fincaan woyyaannee dhugaa hin baane hardha woyyaanneeni diinaa kee taate ilma diqaala ammaa fincaan woyyaannee jala jawween si baafnani fincaan nafxanyaa dhuguuti kaate ammaa hasaha ajawaan gaddi dhiifta bada gufuu,,
Free,Dubbii Dhugga Qeerro of jalatti leenjisaa ,,
Hate,naqamii demii maratatuu silalaa odoo silaluu badhee mali qabaa haga sanii odoo madami tiyaa shayii dafisee????????,,
Free,Baayyinni namoota biyya keenya keessatti Virus Coronnatiin qabamanii  gaheeraUmmanni keenya ammas ofeeggannoo barbaachisaa taassisuu akka qabu dhaamsa dabarsinaYaa Waaqayyo saba kana baraari,,
Hate,Ilmo sarre,,
Free,Mootummaan Naannoo Tigraay fi Paartiin naannicha bulchaa jiru TPLF hanga yoomiitti faallaa Mootummaa Federaalaa dhaabbatanii hiree ummata Tigraay irratti qumaara taphataa itti fufuuHeera Mootummaa biyya kanaa irratti ifatti akka kaaamee jirutti filannoo biyyoolessaas tahe filannoo sadarkaa nannootti gaggeeffamu olaantummaan murteessuu fi raawwachiisuuf angoon kan kennameef Boordii Filannoo Biyyoolessaa qofaaf akka tahe osoo beekamuu ulaagaa kamiin KHR TPLF Naannoo Tigraay keessatti filannoon akka gaggeeffamu murteessuu dandaeAtakaaroo fi tuffiin TPLF Heera Mootummaa biyya kanaa gidduu jiru hanga yoomiitti itti fufaMootummaan Naannoo Tigraay Mootummaa Federaalaatiif ajajamuu diduun kun ummata Tigray irratti miidhaa geessisu hin qabuuDubbii kana Mootummaan Federaalaa akkamitti ilaalaa jiraGaaffiiwwan kanaa fi kkf irratti Minsteerri Muummee biyya keenyaa Kabajamoo DrAbiy Ahimad tibbana waan jedhanu qabu jedhamee eegamaMaalifuu dhimmi kun akka salphaatti ilaalamuu akka hin qabne dhaamsa dabarsuu barbaanna,,
Free,Lammaa koo Lammaa koo tokkochaa  ija barbadaa yoomilee  seenaan  sini dagatuuuu gootaa Kenyaa,,
Free, Sagantaan kunis dubartoota sadarkaa umrii hundaarraa jiran fayyadamoo gochuuf kaayyoo qabanne galmaan gahuuf ni gargaaras jedhaniiru Aadde Daagmaawit,,
Free, Dubartoonni hanga biyya qajeelchan dhiibbaa garagaraan fayyadamoo mirgootasaanii akka hin taane ministirri dhimma dubartootaa daÃ¢â‚¬â„¢immaniifi dargaggoota Fiilsan Abdullahin himaniiru,,
Free,Haala Baniinsa Manneen Barnootaa Naannoo Oromiyaa  Marsaa jalqabaa onkololeessa  barattoota kutaa  5fi  buleeyyii hunda fi manneen barnootaa  magaalota aanaa  keessatti   argamanii  fi maneen barnootaa gandoota baadiyyaa keessatti argaman  hunda keessatti kan eegalamu taa   Marsaa ffaa Onkololeessa  manneen barnoota  magaalota  giddu galeessa godinaa  keessa jiran keessatti kan eegalamu taa    Marsaa ffaa Sadaasa  manneen barnoota magaalota Finfinnee Marsanii jiranii  kan akka Bishooftuu,,
Free,Sutuma sutaan kileen milaan demti kanafu halkaan tokkon yeroo ifi ketin murteesitti Wanti taau hin jiru obsaa fi karooraan hajatati bakka yanee genyaa ,,
Hate,hojiin kessan kun hojii daimaatikana dura mal egdanii guyyumaa rakkoon isinittii dhuftee maf olif gadii figdani isin gahee dhisaa oduu kessaani oromoon imanaa isinirraatti dhisee malee hin dunee kanaf namuu abdii isinirraa kutatee dhisaa hin carraqina sobduuwwan guyyumaa kokkee hudhamtee Olin gadi figduu,,
Free,"Kana malees ibsi kun buufanni TV garee mormitoota mootummaa Eertiraa Asennaa jedhamu Kaardinaal Abuuna Birhaane-Yesuus Guraandahala 16, 2normal12 kabaja waggaa Waldaa Kaatolikii Kidaana Mihiratii Qabannaa irratti",,
Hate,Qeerroodhaan girrisaa jeechaa abbaa qeerroo mana hidhatti dararaa qeerroo tamtuu arrasidhagaya ,,
Hate,ofumaa afaan hin banin afuuftuu Kan isin itti jirtan jijjiirama gara fuulduraamoo isa duubati Jijjirama isin itti jirtan duubatti deebitanii seenaa oromoon itti cabe deebisuuf akka harree alaaktu Abadan hin ta'u Hin deebi'us Qabsoon jijjiiramaadha Nutis haala isin itti qophooftaniin osoo hin taane karaa isin hin yaanneen micciirree isin kuffisna ,,
Free,"Bara Faranjootaa 2normal2Normalguyyaa jalqabaatti Itiyoophiyaatti daa'imman 8,493 dhalatan jedha ÃƒÂ¢Ã¢â€šÂ¬Ã‹Å“UnicefÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢",,
Hate,Diqaala hadha roftu lubbu nama fixaa Shane Shane  jettan isinumattu fixe nama nagaya,,
Hate,Yaa shanee Yaa girrisaa Jechaa baatee yaa sabaa contradict,,
Free, Haala waqtaawaa naannoo Tigraayii fi dhimma deeggarsa namoomaa naannichaarratti mariataniiru,,
Free,Guyyoota 22n darbanitti filannoo biyyaalessa marsaa 6ffaaf galmee kaadhimamtootaa gaggeeffameen Paartilee Siyaasaa beekkamtii seeraa argatan 49 keessa 47 kaadhimamtoota kuma 8 fi 209 galmeessiisuu himaniiru,,
Hate,Aboo intalloo nafxaanyan dhaltee oroomon gudistee abiyot kasayee walliin yaa saree nafxaanya atiif abiyotiis gondariiti galuu jirtuu inshallah,,
Hate,Diqaalan biyyaa diigaraa male biyyaa ijaaraara kan biyyaa ijaaruu jawwwee hiikaa ni hiiktuu hiikaa,,
Hate,Kuun naaf Qubsa mitii Osoo Mani Kiristana Suuri haadha Keenya qulquleti Durbe Maariyaamii irraa jirate Akkasumas Ergamota waliin Kun Keenya jeena kan enyuti jeena  Qamnii isiin ilalatu nuf Siiresa jena Na ofkalcha,,
Free,Nafxaanyaan bakka hundaa keessatti Waal ijartee soochoaa jirtuu kun oromoo biyyaa hin bulchuu jettee magaalaa naannoo finfinnee keessa oloolaa gageessa jiraan kanaa mootummaan Tarkaanfii keessa deebii hin qabnee fudhachuu qaba Keessattu kan isaan irraatti hojachaa jiran uummanii oroomoo akka magaalaa keessa mana qireeffachuu hin dandeenyeetti birr humna nama olitti himuun oromoon magaalaa keessa akka galakisee bahuutti hojachaa jiraachuu isaa bakkoota gara gara keessatti hojachaa jiruu uummaannii akka motuumma irrattii qabuu tasisaa jiruu mootummaan ykn hoggaansii naannoo sana bulchuu olaantummaa seera irratti fudhachuu qaba,,
Hate,Carraa gaaridha down down bilxiginnaa jechaa ooludhadown down itiyoophiyaa jechuudhameeqaf ergamtuu taatu garu,,
Hate,Sharmuxxaa haadha Alangaa tauun siif hin maluu pophoo Nafxanyaa oromootu mukaa isiinti cabsee ok,,
Free,Isinitti haa tolu warri abbaa gadaa galatomaa,,
Hate,garam garam Tayyema kan samoona Oromoo jajuu eegale kun oromoon qaroodha lamuu hin sobamuu gara dhufteetti,,
